candle_begin_time,open,high,low,close,signal,pos,b_bar_quote_volume,kline_pct,r_line_equity_curve
2024-12-02 07:00:00,0.0209429,0.0210567,0.020633,0.0207347,,0.0,68569256.5855551,[-0.00998386],4.435364775528462
2024-12-02 08:00:00,0.0207347,0.0207707,0.01953,0.0199948,,0.0,211720715.3597532,[-0.03568414],4.435364775528462
2024-12-02 09:00:00,0.0199947,0.0204818,0.0199318,0.0204539,,0.0,88522068.85274109,[0.02296097],4.435364775528462
2024-12-02 10:00:00,0.0204538,0.0204578,0.019931,0.0199917,,0.0,78413904.7942148,[-0.02259716],4.435364775528462
2024-12-02 11:00:00,0.0199932,0.0202677,0.019906,0.0200326,,0.0,71522991.67608081,[0.00204585],4.435364775528462
2024-12-02 12:00:00,0.0200322,0.0202806,0.0198728,0.020021,,0.0,61436924.0055274,[-0.00057906],4.435364775528462
2024-12-02 13:00:00,0.0200194,0.02045,0.0199766,0.020185,,0.0,89895688.4668636,[0.0081914],4.435364775528462
2024-12-02 14:00:00,0.020185,0.0204903,0.0200767,0.0201618,,0.0,85154334.1230156,[-0.00114937],4.435364775528462
2024-12-02 15:00:00,0.0201617,0.0207719,0.020016,0.0206406,,0.0,127111454.1693429,[0.02374788],4.435364775528462
2024-12-02 16:00:00,0.0206407,0.0207377,0.0198125,0.0200912,,0.0,160592154.23787358,[-0.02661744],4.435364775528462
2024-12-02 17:00:00,0.0200912,0.0202555,0.0196304,0.0197202,,0.0,114333540.7854397,[-0.0184658],4.435364775528462
2024-12-02 18:00:00,0.0197202,0.020206,0.0197015,0.0201181,,0.0,74587509.7380342,[0.02017728],4.435364775528462
2024-12-02 19:00:00,0.0201165,0.0202532,0.019944,0.0201967,,0.0,47403345.5460929,[0.00390693],4.435364775528462
2024-12-02 20:00:00,0.0201966,0.0204475,0.020151,0.0202723,,0.0,53554474.1633826,[0.00374319],4.435364775528462
2024-12-02 21:00:00,0.0202723,0.020375,0.0200905,0.0202137,,0.0,48144149.0178346,[-0.00289064],4.435364775528462
2024-12-02 22:00:00,0.0202137,0.020325,0.020086,0.0202743,,0.0,29147166.3593601,[0.00299797],4.435364775528462
2024-12-02 23:00:00,0.0202742,0.0204681,0.0202556,0.0204426,,0.0,32493273.4008435,[0.00830115],4.435364775528462
2024-12-03 00:00:00,0.0204427,0.0204647,0.0201557,0.0203865,,0.0,47388924.8155145,[-0.00274427],4.435364775528462
2024-12-03 01:00:00,0.0203864,0.0204471,0.0201752,0.0201786,,0.0,39873941.3330456,[-0.01019793],4.435364775528462
2024-12-03 02:00:00,0.0201785,0.0204889,0.0200601,0.0203957,,0.0,46632868.0508622,[0.01075892],4.435364775528462
2024-12-03 03:00:00,0.0203957,0.0205768,0.0203534,0.0204344,,0.0,32927275.1664729,[0.00189746],4.435364775528462
2024-12-03 04:00:00,0.0204341,0.0205964,0.0203872,0.0205303,,0.0,31108177.3650307,[0.00469307],4.435364775528462
2024-12-03 05:00:00,0.0205302,0.0206346,0.0204633,0.0206036,,0.0,27472614.1502627,[0.00357033],4.435364775528462
2024-12-03 06:00:00,0.0206036,0.0210971,0.0204295,0.0205392,,0.0,122177304.4051395,[-0.00312567],4.435364775528462
2024-12-03 07:00:00,0.0205393,0.02064,0.020251,0.0205724,,0.0,105739734.4859904,[0.00161642],4.435364775528462
2024-12-03 08:00:00,0.0205724,0.0208151,0.02041,0.0205795,,0.0,46614846.4107149,[0.00034512],4.435364775528462
2024-12-03 09:00:00,0.0205785,0.0205834,0.0203188,0.0204166,,0.0,30661968.2851396,[-0.00791564],4.435364775528462
2024-12-03 10:00:00,0.0204166,0.0205753,0.0200222,0.0201342,,0.0,56692737.6152138,[-0.01383188],4.435364775528462
2024-12-03 11:00:00,0.0201342,0.0203814,0.020097,0.0203658,,0.0,38088320.3847379,[0.01150282],4.435364775528462
